"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50"
"GSM11805.CEL.gz",-4.9759759057456,-70.7181339203772,26.6682635902741,36.572186185055,36.36223338708,-17.9242253240953,35.4429167915814,-11.2179357744178,1.60943101620118,-20.7440853366594,39.995223726486,-25.8517433814943,5.449032645622,-1.96490540706539,0.221541316771095,-8.57707613681931,23.1261969069497,-5.27192594750712,15.9639006131671,-0.592244881229395,12.7537500215556,-4.51345560726447,8.90129313869064,-0.0239332050817983,-12.4025666580589,11.3128317973883,-4.14130487704726,5.49787905837478,-4.5033711119891,-9.49733742352485,11.3407883668241,0.832921939548069,-14.8005813679719,18.2931627280038,-1.2420354654033,5.81968271723046,-2.24651344430754,6.69491706120297,-5.8318190080737,1.96127630847066,-13.8360720430072,1.06713073392,-5.47199757256147,1.52816872078118,-6.60043001422631,0.41971053759938,-8.29239925818938,7.90136402335657,-0.715660080253748,5.15294080839947
"GSM11814.CEL.gz",-22.9987251015457,-72.7053965170032,17.7574248867801,23.4525265795334,29.4814313433961,-18.23907607343,24.6017374192292,-41.4058192640315,3.7523407256974,-20.0307309065782,-9.33678755165349,20.7725838332085,-8.51523935553664,-29.7678591839582,0.28485349154115,-14.2283209807755,16.8619318114004,16.6325020634319,12.5497199021702,-5.64852870693669,6.42256272184157,-13.7930814255727,15.665210097899,1.74186719267005,-21.0012209588204,8.9311115578154,-5.99811558220743,-11.2830039580431,-11.491520040744,-11.2831973398234,10.0801691307097,17.9889104373003,-16.4488505528813,24.4064862892096,-5.41595491801704,16.6087812573477,4.37328270995927,6.65917968835218,5.71876761162155,-22.634590455376,-6.46715168079607,16.4442073292008,-4.77633894858038,11.8327058650833,-6.15438680556232,3.17483451043349,1.51749339339108,9.52743894779878,-1.62922532256206,-3.87591998849858
"GSM11823.CEL.gz",-36.4605848108321,-18.171761857009,40.2910804633326,21.5851611754825,47.6359410529358,-15.9037989073474,51.9750484563481,25.1209870112673,1.48991759382592,-46.2691724330817,10.1801879911194,-13.6125530575203,-7.34320804102553,6.99060551230739,-1.01904861188296,6.00919299464524,-3.79265128908,14.5297686851236,-6.81171795269109,7.81164567542985,2.97291989806755,-5.04795951650667,-5.41715228496468,1.33004576623928,0.759581475015344,2.17233396515297,2.27617136122785,-6.68932059343461,-5.335822851004,2.60428319290614,-2.54381226621354,-3.40303211375737,-0.961176554712974,-3.89556200957908,1.16840742148767,-1.54934403492194,-0.754734454055278,0.935099894263426,4.06164783566091,2.2166824040812,0.226787420694889,-3.47163526939743,1.20136734096497,1.26917849572088,-2.18328433329487,2.3707245011613,1.4590044950297,1.43632258515771,-0.450063666169112,0.514673929235113
"GSM11830.CEL.gz",-62.6395333958896,3.81868818500805,19.5445870686115,33.1088774797746,72.6975572757888,-54.5759064823794,25.3363319906999,-56.4136992084345,-34.2585915570593,6.61247348090357,3.76774900625201,4.7013250196985,-41.3534090782925,29.8208692436003,-6.19025157531143,20.6042303152495,-9.62603440806042,-15.5593427215647,-5.29129797172671,-2.81847486027785,-10.4899153122026,5.71623268263267,-20.1645441689083,2.68186173576201,7.26731006500785,1.13577115822536,0.0729049442561389,-2.14068747981858,4.75879810170084,12.5642963820286,-2.54610934834612,7.10895663884051,9.21738867424168,-5.90615623480881,-0.739563882888809,-2.28042085126076,7.73306357736696,-0.340669046993641,2.42477781462795,4.83067426786744,9.68609958099095,-0.429018151165151,7.77919337754813,-6.07874768459099,3.30424443726874,4.70886590514133,6.9910931861977,-0.427746832579483,10.0703428427587,0.968499860122899
"GSM12067.CEL.gz",-41.2140790547725,-28.8104641598218,23.1216143181737,44.0731874913433,66.8468095030954,-44.1797574142715,29.1438934857526,-53.2651299008936,-42.0723318832989,16.0765689791404,19.9592075575611,4.98324812810069,-29.0780626084412,24.1995812763722,-12.2908224649181,12.5439181449483,-6.4782632395136,-11.1490326745427,0.0819550754393592,-1.77633176662952,-8.39855296340672,3.05882656617803,-13.5061756854252,3.47947755110998,10.8764535371211,1.4172348102085,-1.68165401680714,5.61960502019466,11.4059041767543,15.298976231279,-4.20376690072613,5.76161174770071,-5.8183832156919,7.22458746697503,-2.63450518868837,-4.15070313902412,6.08506198358755,-1.72922203985998,1.38657649297017,10.0664971014325,2.52534238435156,0.0947249594342995,7.06045134233556,1.07398706446412,-0.863116699313803,1.13352888613497,4.48862117807741,0.360040531170388,0.446308710863257,-1.54974921613561
"GSM12075.CEL.gz",-42.2513675318731,-5.90274721893674,27.6321213839288,16.659761223497,48.7193990586673,-20.652093209444,50.3531607753225,15.5928563767731,5.23003703268821,-43.7445245934857,17.0557158215806,-28.1552146531093,12.0587130103163,-7.39692815051755,6.4859580108891,5.23180928928634,1.1813800846318,7.43011713045231,-3.51244534943202,2.02327845342548,0.580778625651999,3.06870507219003,-6.82667509675549,-7.0401762855635,-1.54105993201534,2.55604464252378,1.2696696923052,-4.91810502457883,4.50528514029157,-4.77317840902287,-0.606422886675094,-2.66454660334819,3.39359858788466,-7.58836539228846,4.08952885671028,3.54947135912385,-3.35638910983055,4.28689493807475,2.99053066705115,-6.73903195485369,0.510463394594764,0.817804100314772,-8.84317765984447,-0.791243546406334,4.28414327671857,1.97673715242398,2.66934850387422,1.28097171220563,6.74753769544385,1.01831491608938
"GSM12079.CEL.gz",-66.717880821983,27.8660377525454,9.26812884580907,48.505878296814,63.5991175456514,-60.1695868449463,11.3768302291767,-84.0630464248944,-15.2734782703622,6.09325592892931,25.3163594346823,-16.5350648599459,-42.8945937922071,23.4988054761739,-1.41605811999982,-5.29107457343835,7.97317337643774,-19.9818377472858,-0.446176015844465,-2.83114026940438,1.07607039407026,-0.196207669362381,22.1269809969571,5.82305755715576,-2.21777382932311,5.14400877384889,-7.80948314269059,4.20129798576687,2.90024969458731,7.7022207762952,1.57048998301571,-12.1833257941301,0.245737249799363,2.58620561636414,1.19192979643873,-19.4179596767073,-8.55855030904839,4.8130573507259,-9.57893746161557,-0.872352329765059,2.25832296617986,-2.43660261111426,-8.90066408793232,2.23088580030317,9.7045670266704,-3.84727638041562,-22.9518938116486,4.87878532466512,-20.6964192452385,-3.15840899598164
"GSM12098.CEL.gz",-35.9946746872493,-20.2060071969192,34.303888125083,24.1795667987764,49.7059412933987,-11.3348953954945,50.0912793955458,18.3588679762393,3.04386866506763,-37.0992641049929,18.6835693421849,-21.2139939119955,5.49773509693784,-1.51116212450236,1.95094912052179,1.09134536395851,1.48563701672774,17.0832217646686,-0.749435890246316,7.38097779632073,3.91390739046089,-2.61930891527071,-3.80286463037824,-3.36315924360798,-3.57536109052595,3.52472517805922,4.28880901767451,-6.29620925065554,-2.30175351635106,-3.43635764860052,1.81590510476638,-6.36256313877498,2.17388924751296,-5.24106986456406,5.00248457059795,2.86074255570723,-5.0515257277542,0.389028492782771,1.98386575545728,-1.50551487351143,-2.09224087942642,0.374005224456571,-3.12916613573346,-2.7244389281991,-0.159490887300945,-0.147651325855229,0.169572416542942,5.66727106530258,3.80592555492157,-0.0181620940778423
"GSM12105.CEL.gz",-25.4447062532357,-50.2113738459552,19.7288989763865,34.5974360210428,54.6506956403923,-28.0820320200892,3.28533538932262,-52.1571443199252,-15.359283991889,8.90674057340724,8.87245187154371,11.6932630490512,-13.1476775253521,3.00103454209711,-11.5513524054157,-18.8352987860905,7.31294721454703,-4.01483586563736,13.6734786831854,-2.81129322689224,-5.25928156261858,-9.45786973044806,0.889968954645919,-8.51868928520383,2.44466713804102,11.2614393627607,0.782820386522882,4.61571612968243,2.12508448017584,-10.2099253710962,2.2827322166499,1.35744373934606,-4.11947520320665,12.5925428591861,-3.67625763401692,3.51502534076743,-11.3433467527545,3.48920182229669,-4.39389225649987,-3.27106073368078,-6.81352676547565,9.82615371361632,1.41113545098024,-2.10337276611281,-4.73100228562416,-3.7909138085536,2.87712100720659,5.33016693678661,-1.23474403466655,-14.5595514592359
"GSM12268.CEL.gz",-38.1597103281351,-22.7110114359707,33.1452650034414,22.3120153656784,46.117778484741,-19.8134116904613,51.7515692248561,23.2126360941349,-13.5108518005835,-47.0409360246983,16.0677353421227,-18.8245075084534,8.98973799923671,-0.483544954625875,-0.407490754529503,6.41972953950629,5.59008579535346,12.4581647395072,4.78779890071747,4.45752015072344,-2.219261017807,-4.07994240306675,-14.2322756548243,2.71403216496926,1.2525594277274,-1.74141034866013,3.06283600857188,-3.60287523734269,-2.91419796167109,-5.60727398467103,-5.22542422511382,2.87814336785878,4.20999649732322,1.1947082206044,-2.6675826821857,2.62073444233886,-1.25581705055161,0.903128346130071,0.238793805842971,-2.72957807554422,-1.56610200860249,-1.92727067828898,-0.233631304323453,-0.949978650178074,0.457998329351093,4.55083445435189,3.54094100478981,1.1919815854426,5.07447124235318,0.950105267075329
